x,y,d/dx,d/dy
-1.280000E+00,-1.280000E+00,-2.011879E+10,-1.989229E+10
-1.280000E+00,-1.160000E+00,-1.944488E+10,-1.727112E+10
-1.280000E+00,-1.040000E+00,-1.866489E+10,-1.468019E+10
-1.280000E+00,-9.200000E-01,-1.777007E+10,-1.213259E+10
-1.280000E+00,-8.000000E-01,-1.675316E+10,-9.638488E+09
-1.280000E+00,-6.799999E-01,-1.560481E+10,-7.201214E+09
-1.280000E+00,-5.599999E-01,-1.429738E+10,-4.817029E+09
-1.280000E+00,-4.399999E-01,-1.273523E+10,-2.503892E+09
-1.280000E+00,-3.199999E-01,-1.062334E+10,-4.417499E+08
-1.280000E+00,-1.999999E-01,-7.250984E+09,7.112423E+08
-1.280000E+00,-7.999992E-02,-2.339422E+09,1.968741E+08
-1.280000E+00,4.000008E-02,-1.066486E+09,-7.237196E+08
-1.280000E+00,1.600001E-01,-5.706171E+09,-9.403626E+07
-1.280000E+00,2.800001E-01,-9.687482E+09,1.769344E+09
-1.280000E+00,4.000001E-01,-1.211703E+10,4.034936E+09
-1.280000E+00,5.200001E-01,-1.381350E+10,6.400764E+09
-1.280000E+00,6.400001E-01,-1.518923E+10,8.819838E+09
-1.280000E+00,7.600000E-01,-1.638569E+10,1.129492E+10
-1.280000E+00,8.800001E-01,-1.744499E+10,1.382557E+10
-1.280000E+00,1.000000E+00,-1.837977E+10,1.640346E+10
-1.280000E+00,1.120000E+00,-1.919719E+10,1.901599E+10
-1.280000E+00,1.240000E+00,-1.990533E+10,2.165043E+10
-1.280000E+00,1.360000E+00,-2.051441E+10,2.429561E+10
-1.160000E+00,-1.280000E+00,-1.758569E+10,-1.921838E+10
-1.160000E+00,-1.160000E+00,-1.682186E+10,-1.649113E+10
-1.160000E+00,-1.040000E+00,-1.591994E+10,-1.378536E+10
-1.160000E+00,-9.200000E-01,-1.486510E+10,-1.111567E+10
-1.160000E+00,-8.000000E-01,-1.364740E+10,-8.490145E+09
-1.160000E+00,-6.799999E-01,-1.226264E+10,-5.893787E+09
-1.160000E+00,-5.599999E-01,-1.070076E+10,-3.254871E+09
-1.160000E+00,-4.399999E-01,-8.885860E+09,-3.919998E+08
-1.160000E+00,-3.199999E-01,-6.405870E+09,2.930601E+09
-1.160000E+00,-1.999999E-01,-1.119137E+09,5.622804E+09
-1.160000E+00,-7.999992E-02,1.876936E+10,1.469811E+09
-1.160000E+00,4.000008E-02,3.268019E+10,-5.363405E+09
-1.160000E+00,1.600001E-01,2.636273E+09,-4.075348E+09
-1.160000E+00,2.800001E-01,-5.186200E+09,-6.602009E+08
-1.160000E+00,4.000001E-01,-8.176366E+09,2.338469E+09
-1.160000E+00,5.200001E-01,-1.013241E+10,5.025029E+09
-1.160000E+00,6.400001E-01,-1.176300E+10,7.623374E+09
-1.160000E+00,7.600000E-01,-1.320453E+10,1.023563E+10
-1.160000E+00,8.800001E-01,-1.447759E+10,1.289083E+10
-1.160000E+00,1.000000E+00,-1.558596E+10,1.558608E+10
-1.160000E+00,1.120000E+00,-1.653739E+10,1.830784E+10
-1.160000E+00,1.240000E+00,-1.734539E+10,2.104135E+10
-1.160000E+00,1.360000E+00,-1.802675E+10,2.377439E+10
-1.040000E+00,-1.280000E+00,-1.510817E+10,-1.845455E+10
-1.040000E+00,-1.160000E+00,-1.425195E+10,-1.558922E+10
-1.040000E+00,-1.040000E+00,-1.321677E+10,-1.273052E+10
-1.040000E+00,-9.200000E-01,-1.197660E+10,-9.897967E+09
-1.040000E+00,-8.000000E-01,-1.051432E+10,-7.105390E+09
-1.040000E+00,-6.799999E-01,-8.832653E+09,-4.331907E+09
-1.040000E+00,-5.599999E-01,-6.969014E+09,-1.439969E+09
-1.040000E+00,-4.399999E-01,-5.003393E+09,2.087990E+09
-1.040000E+00,-3.199999E-01,-3.016154E+09,8.217334E+09
-1.040000E+00,-1.999999E-01,-6.652872E+08,2.551130E+10
-1.040000E+00,-7.999992E-02,1.004096E+10,1.538064E+10
-1.040000E+00,4.000008E-02,2.934786E+10,-3.540732E+10
-1.040000E+00,1.600001E-01,7.035732E+08,-1.189782E+10
-1.040000E+00,2.800001E-01,-2.330542E+09,-3.650367E+09
-1.040000E+00,4.000001E-01,-4.342377E+09,3.824234E+08
-1.040000E+00,5.200001E-01,-6.320139E+09,3.394445E+09
-1.040000E+00,6.400001E-01,-8.228580E+09,6.181856E+09
-1.040000E+00,7.600000E-01,-9.977122E+09,8.962571E+09
-1.040000E+00,8.800001E-01,-1.151427E+10,1.178247E+10
-1.040000E+00,1.000000E+00,-1.282728E+10,1.463465E+10
-1.040000E+00,1.120000E+00,-1.392812E+10,1.749986E+10
-1.040000E+00,1.240000E+00,-1.484092E+10,2.036003E+10
-1.040000E+00,1.360000E+00,-1.559331E+10,2.320218E+10
-9.200000E-01,-1.280000E+00,-1.270922E+10,-1.759833E+10
-9.200000E-01,-1.160000E+00,-1.176457E+10,-1.455404E+10
-9.200000E-01,-1.040000E+00,-1.058986E+10,-1.149034E+10
-9.200000E-01,-9.200000E-01,-9.138326E+09,-8.435686E+09
-9.200000E-01,-8.000000E-01,-7.370611E+09,-5.423725E+09
-9.200000E-01,-6.799999E-01,-5.277713E+09,-2.468268E+09
-9.200000E-01,-5.599999E-01,-2.928416E+09,5.256533E+08
-9.200000E-01,-4.399999E-01,-5.731384E+08,4.075229E+09
-9.200000E-01,-3.199999E-01,1.054148E+09,1.056820E+10
-9.200000E-01,-1.999999E-01,-8.297165E+08,3.621755E+10
