t,r,phi,p,l,x,y,U
0.000000E+00,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,-4.874998E+00
1.000000E-01,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,-4.874998E+00
2.000000E-01,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,-4.874998E+00
3.000000E-01,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,-4.874998E+00
4.000000E-01,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,-4.874998E+00
5.000000E-01,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,-4.874998E+00
6.000000E-01,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,-4.874998E+00
7.000000E-01,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,-4.874998E+00
8.000000E-01,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,-4.874998E+00
9.000000E-01,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,1.000000E+00,0.000000E+00,-4.874998E+00
1.000000E+00,2.000000E+00,-4.547197E-05,1.000000E+00,3.270953E-14,2.000000E+00,-9.094395E-05,-5.014882E+00
1.100000E+00,2.000000E+00,-4.547197E-05,1.000000E+00,3.270953E-14,2.000000E+00,-9.094395E-05,-5.014882E+00
1.200000E+00,2.000000E+00,-4.547197E-05,1.000000E+00,3.270953E-14,2.000000E+00,-9.094395E-05,-5.014882E+00
1.300000E+00,2.000000E+00,-4.547197E-05,1.000000E+00,3.270953E-14,2.000000E+00,-9.094395E-05,-5.014882E+00
1.400000E+00,2.000000E+00,-4.547197E-05,1.000000E+00,3.270953E-14,2.000000E+00,-9.094395E-05,-5.014882E+00
1.500000E+00,2.000000E+00,-4.547197E-05,1.000000E+00,3.270953E-14,2.000000E+00,-9.094395E-05,-5.014882E+00
1.600000E+00,2.000000E+00,-4.547197E-05,1.000000E+00,3.270953E-14,2.000000E+00,-9.094395E-05,-5.014882E+00
1.700000E+00,2.000000E+00,-4.547197E-05,1.000000E+00,3.270953E-14,2.000000E+00,-9.094395E-05,-5.014882E+00
1.800000E+00,2.000000E+00,-4.547197E-05,1.000000E+00,3.270953E-14,2.000000E+00,-9.094395E-05,-5.014882E+00
1.900000E+00,2.000000E+00,-4.547197E-05,1.000000E+00,3.270953E-14,2.000000E+00,-9.094395E-05,-5.014882E+00
2.000000E+00,3.000000E+00,-9.094394E-05,1.000000E+00,3.530079E-14,3.000000E+00,-2.728319E-04,-9.670047E+00
2.100000E+00,3.000000E+00,-9.094394E-05,1.000000E+00,3.530079E-14,3.000000E+00,-2.728319E-04,-9.670047E+00
2.200000E+00,3.000000E+00,-9.094394E-05,1.000000E+00,3.530079E-14,3.000000E+00,-2.728319E-04,-9.670047E+00
2.300000E+00,3.000000E+00,-9.094394E-05,1.000000E+00,3.530079E-14,3.000000E+00,-2.728319E-04,-9.670047E+00
2.400000E+00,3.000000E+00,-9.094394E-05,1.000000E+00,3.530079E-14,3.000000E+00,-2.728319E-04,-9.670047E+00
2.500000E+00,3.000000E+00,-9.094394E-05,1.000000E+00,3.530079E-14,3.000000E+00,-2.728319E-04,-9.670047E+00
2.600000E+00,3.000000E+00,-9.094394E-05,1.000000E+00,3.530079E-14,3.000000E+00,-2.728319E-04,-9.670047E+00
2.700000E+00,3.000000E+00,-9.094394E-05,1.000000E+00,3.530079E-14,3.000000E+00,-2.728319E-04,-9.670047E+00
